id,estimated_value,asking_price,deadline,bids_avg,bids_count,value_diff,roi
18190962,4690450,4690450,26/12/25 at 07:14,-,0,0,0.0
18049374,26624350,26624350,26/12/25 at 06:56,-,0,0,0.0
18341416,88252600,88252600,28/12/25 at 07:19,-,0,0,0.0
18113848,3204550,0,26/12/25 at 07:38,-,0,3204550,0.0
18175507,2506700,0,26/12/25 at 06:33,-,0,2506700,0.0
18099041,9029050,9029050,26/12/25 at 07:00,-,0,0,0.0
18314869,2884250,0,26/12/25 at 07:19,-,0,2884250,0.0
18099231,7764850,7764850,26/12/25 at 06:43,-,0,0,0.0
18224431,3391300,0,26/12/25 at 07:31,-,0,3391300,0.0
18121684,9655550,9655550,26/12/25 at 06:54,-,0,0,0.0
18051624,11327850,11327850,28/12/25 at 07:43,-,0,0,0.0
18258665,2130450,0,26/12/25 at 07:03,-,0,2130450,0.0
18122542,11362900,11362900,26/12/25 at 07:30,-,0,0,0.0
18147056,1708300,0,26/12/25 at 21:03,-,0,1708300,0.0
18145908,3056950,3056950,26/12/25 at 06:35,-,0,0,0.0
18130573,2568750,0,26/12/25 at 06:59,234.000 baht,0,2568750,0.0
18081929,4313550,4313550,28/12/25 at 06:47,-,0,0,0.0
18056812,3362650,3362650,26/12/25 at 07:18,-,0,0,0.0
18208415,3412850,0,26/12/25 at 06:42,-,0,3412850,0.0
18100076,1872250,0,26/12/25 at 07:10,-,0,1872250,0.0
18050931,2127900,0,26/12/25 at 06:53,-,0,2127900,0.0
18133351,9919500,9919500,26/12/25 at 07:24,-,0,0,0.0
18055953,5925700,5925700,26/12/25 at 07:42,-,0,0,0.0
18249704,11528750,0,27/12/25 at 21:18,572.950 baht,0,11528750,0.0
18262712,3290900,0,26/12/25 at 07:07,-,0,3290900,0.0
18022500,2433300,0,26/12/25 at 06:39,-,0,2433300,0.0
18311609,13158050,13158050,26/12/25 at 07:30,-,0,0,0.0
18007623,1827600,0,26/12/25 at 07:27,-,0,1827600,0.0
18186232,6398550,6398550,26/12/25 at 06:34,-,0,0,0.0
18632630,43033950,0,28/12/25 at 07:20,-,0,43033950,0.0
18102999,3213450,0,26/12/25 at 06:58,-,0,3213450,0.0
18220727,2178600,0,26/12/25 at 06:40,-,0,2178600,0.0
18061086,2129350,2129350,26/12/25 at 06:35,-,0,0,0.0
18041380,2136450,0,26/12/25 at 06:42,-,0,2136450,0.0
18017098,4628000,0,28/12/25 at 20:49,630.800 baht,0,4628000,0.0
18204250,1914650,1914650,26/12/25 at 07:36,-,0,0,0.0
18005522,2431250,2431250,26/12/25 at 06:35,-,0,0,0.0
18292956,3253300,0,26/12/25 at 06:34,-,0,3253300,0.0
18405150,7332500,7332500,26/12/25 at 07:13,-,0,0,0.0
18316812,3344800,0,26/12/25 at 07:20,-,0,3344800,0.0
18045589,3207400,0,26/12/25 at 06:49,-,0,3207400,0.0
18025543,4563350,4563350,26/12/25 at 07:22,-,0,0,0.0
18273689,4690450,4690450,26/12/25 at 07:16,-,0,0,0.0
18056346,5542050,5542050,26/12/25 at 07:01,-,0,0,0.0
18120383,10521000,10521000,26/12/25 at 06:56,-,0,0,0.0
18027024,1832800,0,26/12/25 at 07:09,-,0,1832800,0.0
18046741,2128800,2128800,26/12/25 at 07:02,-,0,0,0.0
18060438,5922650,5922650,26/12/25 at 07:28,-,0,0,0.0
18234913,13445100,13445100,26/12/25 at 07:25,-,0,0,0.0
18255653,2238750,0,26/12/25 at 07:21,-,0,2238750,0.0
18061837,5573850,5573850,26/12/25 at 06:49,-,0,0,0.0
18413405,7069950,7069950,26/12/25 at 06:59,-,0,0,0.0
18463673,10821300,10821300,26/12/25 at 07:08,-,0,0,0.0
18044776,1882450,0,26/12/25 at 07:34,-,0,1882450,0.0
17982365,4157450,4157450,26/12/25 at 07:20,-,0,0,0.0
18435937,38127900,0,N/A,-,0,38127900,0.0
18010186,2884100,0,26/12/25 at 06:50,-,0,2884100,0.0
18091868,3662450,0,26/12/25 at 06:47,-,0,3662450,0.0
18053709,1889200,0,26/12/25 at 06:36,-,0,1889200,0.0
17985924,2418900,2418900,26/12/25 at 07:18,-,0,0,0.0
18396035,15723800,15723800,26/12/25 at 07:40,-,0,0,0.0
18334235,10399950,10399950,26/12/25 at 06:59,-,0,0,0.0
18133628,9873950,9873950,26/12/25 at 06:52,-,0,0,0.0
18370869,3271200,3271200,26/12/25 at 06:31,-,0,0,0.0
18378048,35688850,0,N/A,-,0,35688850,0.0
18004271,1837750,0,26/12/25 at 07:17,-,0,1837750,0.0
18317689,2846250,0,26/12/25 at 07:27,-,0,2846250,0.0
18336700,2843050,0,26/12/25 at 07:05,-,0,2843050,0.0
17987264,1828100,0,26/12/25 at 07:28,-,0,1828100,0.0
